key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
#,,,ContentLinkType,InstanceContent,,,,,,ContentMemberType,,,,,,ClassJobLevel{Required},ClassJobLevel{Sync},ItemLevel{Required},ItemLevel{Sync},,,,,,,,HighEndDuty,,,,,,Name,ContentType,Transient,,,Icon,,,,,,,,,,,,,,,,,
int32,uint16,byte,uint16,InstanceContent,byte,uint32,byte,byte,byte,ContentMemberType,byte,uint32,uint16,byte,byte,uint16,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,byte,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,str,byte,ContentType,ContentFinderConditionTransient,uint16,uint32,Image,sbyte,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool
0,0,0,0,"",0,0,108,0,0,"ContentMemberType#0",0,0,0,0,0,0,0,False,True,True,False,False,True,0,False,False,False,False,False,False,True,"",0,"","",0,0,"ui/icon/000000/000000.tex",-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,169,1,1,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,24,27,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","过去曾经是关押偷猎者以及森林纵火魔等重犯的监狱。其看守的诨名“托托·拉克”取自传说中拥有一千张巨口的魔物，并且据说这名看守经常对囚犯施以残酷的拷问和严厉的惩罚。

在30多年前，当时的幻术皇以“违反人道”的名义彻底封锁了这座令人生畏的监狱。然而，在失去了管理者之后，地下的牢狱如今已经变成了魔物筑巢群生的废墟……",5,112005,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,164,1,2,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,16,19,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","格尔莫拉地下城邦时期建造的地下墓园。在森林之都格里达尼亚建国之后依旧延续了安葬死者的作用。

传言地下墓园中却出现了可疑的人影……这些人的真实身份，原来是邪教组织“最后之民”的幸存者。这个组织在上次灵灾中，尊崇逐渐落下的卫月为救世神，声称卫月降临会拯救一切。他们为了向阻止卫月的敌人复仇，以墓园中的遗体为凭依，召唤出了邪恶的妖异。",2,112002,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,161,1,3,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,17,20,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","由于矿脉枯竭而已经废弃了300年的铜山。后来艾玛吉娜矿山公司取得了这里的开采权，准备利用最新的采掘技术进行重新开发。

然而，在对最深处的岩盘进行爆破的时候，里面却出现了大量的巨人族对采矿工们发起袭击。原来这些巨人是在乌尔达哈索恩朝时代被当做奴隶驱使的百臂巨人族，他们由于发动了叛乱而被封印在了铜山的地下。现在这些巨人再次开始为了自由和复仇发动暴行，一定要镇压住他们。",3,112003,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,157,1,4,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,15,18,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","有人在小麦酒港近海的幻影群岛附近目击到了形迹可疑的船只。负责警备这一地区的黄衫队怀疑事件与互相协力的鱼人族和海蛇之舌海盗团的活动有一定关系。在目击地点附近的骷髅谷沿岸很可能有他们的据点。

也正在这个时期，又有情报说在沙斯塔夏溶洞中有可疑人士出没，这样一来互相的联系就很明显了……",1,112001,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,172,1,5,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,47,49,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","黄金色的池沼，黄金色的尘雾，然而这美丽的背后却是能够腐蚀身体的剧毒。洞中的硫磺和秘银矿在地下水的作用下产生了奇妙的变化，结果便产生了这一美与毒交缠的神秘洞窟。

有人被洞中的美丽所吸引，有人被金矿的传言所吸引，还有人被前人的遗物所吸引，进入洞窟探险的人始终没有中断过。然而，活着从洞中出来的人依旧少之又少……",12,112014,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,166,1,6,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,28,31,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",6,112006,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,162,1,7,"",0,0,108,2,0,"ContentMemberType#0",0,0,0,20,23,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,"对战","乌尔达哈的斗技场财团为了训练旗下的角斗士而设立的修炼所。在其内部饲养了大量的魔物和野兽。但是，在第七灵灾的混乱期间，管理者放弃了继续维护这里。一般人都认为那些失去了主人的魔兽得不到食物都会饿死在其中了。

可是经过了5年的岁月，当有人再次踏入这座设施之内时，他所看到的，是经过了5年的残酷竞争而生存下来的魔兽，无论力量还是凶暴程度都得到了大幅增长。",4,112004,"ui/icon/000000/000000.tex",-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
